smiles,Activity2
NC(=O)C1OC1C(=O)Nc1ccc(Oc2ccccc2)cc1,1.0
CCOC(=O)C=CCCC(NC(=O)OCc1ccccc1)C(=O)NC(C(=O)N1CCCCC1C(=O)NC(CC(C)C)C(=O)OC)C(C)C,1.0
NC(=O)C1OC1C(=O)Nc1cccc(Cl)c1,1.0
NC(=O)C1OC1C(=O)Nc1cccc(Oc2ccccc2)c1,1.0
COC(=O)C=CCCC(NC(=O)c1cc([N+](=O)[O-])ccc1C(=O)O)C(=O)NC(C(=O)N1CC(OCc2ccccc2)CC1C(=O)NC(C(=O)NC(C(N)=O)C1CCCCC1)C1CCCCC1)C(C)(C)C,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CCN(c3ncccc3C(F)(F)F)CC2)cc1,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CCN(C(=O)OCc3ccc(F)cc3)CC2)cc1,1.0
C=CC(=O)NCCCCC(NC(=O)OCc1ccccc1)C(=O)N1CCC(c2ccccc2)CC1,1.0
COC(=O)C(CC(C)C)NC(=O)C1CCCN1C(=O)C(CCC(N)=O)NC(=O)C(CCC=CS(C)(=O)=O)NC(=O)OCc1ccccc1,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CCN(C(=O)OCc3cccc(Oc4ccccc4)c3)CC2)cc1,1.0
COc1ccc(C(=O)N2CCN(C(=O)n3sc4c(ccc[n+]4[O-])c3=O)CC2)cc1OC,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CCN(c3ccccn3)CC2)cc1,1.0
C=CC(=O)NCCCCC(NC(=O)OCc1ccccc1)C(=O)N1CCN(c2cccc(C)n2)CC1,1.0
CCCCC(NC(=O)C(CCC=CC(=O)OC)NC(=O)C1CC(=O)CN1)C(=O)NC(C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)N1CCCC1C(=O)O)C(C)CC,1.0
NC(=O)C1OC1C(=O)Nc1ccc(Br)cc1,1.0
COC(=O)C=CCCC(NC(=O)c1cc([N+](=O)[O-])ccc1C(=O)O)C(=O)NC(C(=O)N1CCCCC1C(=O)NC(C(=O)NC(C(N)=O)C1CCCCC1)C1CCCCC1)C(C)(C)C,1.0
COC(=O)C=CCCC(NC(=O)c1cc([N+](=O)[O-])ccc1C(=O)O)C(=O)NC(C(=O)N1CC(F)CC1C(=O)NC(C(=O)NC(C(N)=O)C1CCCCC1)C1CCCCC1)C(C)(C)C,1.0
